0.5,253.4
0.505,130.9
0.51,125.8
0.515,127.4
0.52,134.5
0.525,142.2
0.53,139.4
0.535,204.0
0.54,291.1
0.545,190.5
0.55,135.2
0.555,132.9
0.56,259.8
0.565,128.6
0.57,122.6
0.575,122.8
0.58,122.3
0.585,122.9
0.59,124.3
0.595,122.7
0.6,125.5
0.605,122.2
0.61,122.8
0.615,124.1
0.62,122.6
0.625,122.6
0.63,122.3
0.635,122.7
0.64,123.5
0.645,123.0
0.65,138.6
0.655,129.5
0.66,127.1
0.665,126.6
0.67,154.3
0.675,122.5
0.68,122.9
0.685,141.9
0.69,121.7
0.695,123.7
0.7,121.6
0.705,122.9
0.71,130.8
0.715,133.8
0.72,129.6
0.725,138.5
0.73,137.5
0.735,137.0
0.74,132.1
0.745,123.9
0.75,121.6
0.755,122.0
